id,name,host_id,host_name,host_is_superhost,neighbourhood,room_type,price,minimum_nights,number_of_reviews,review_scores_rating,availability_365,latitude,longitude,calculated_host_listings_count,instant_bookable
10000015,Charming Private room in Lichtenberg,20000259,Host_259,f,Lichtenberg,Private room,39,1,98,4.24,38,52.53948128279825,13.49222792374028,4,t
10000016,Charming Private room in Prenzlauer Berg,20000476,Host_476,f,Prenzlauer Berg,Private room,72,2,9,3.9,139,52.548835172173696,13.40323703525349,1,f
10000017,Charming Private room in Kreuzberg,20000009,Host_9,f,Kreuzberg,Private room,78,2,3,3.98,103,52.503819415656174,13.396254770098498,1,t
10000018,Charming Private room in Prenzlauer Berg,20000473,Host_473,f,Prenzlauer Berg,Private room,76,1,43,4.06,276,52.54244833011992,13.40344717661461,1,t
10000019,Charming Entire home/apt in Mitte,20000392,Host_392,f,Mitte,Entire home/apt,176,1,31,4.88,50,52.52418118521956,13.376702079313215,3,f
10000020,Charming Entire home/apt in Mitte,20000226,Host_226,f,Mitte,Entire home/apt,185,1,0,,48,52.51735343166762,13.445802537498844,1,f
10000021,Charming Private room in Charlottenburg,20000158,Host_158,f,Charlottenburg,Private room,65,2,29,4.88,115,52.51907223386366,13.301198629525087,1,t
10000022,Charming Private room in Kreuzberg,20000471,Host_471,f,Kreuzberg,Private room,74,2,3,4.48,341,52.50074093744131,13.37311391831932,1,t
10000023,Charming Entire home/apt in Mitte,20000490,Host_490,f,Mitte,Entire home/apt,153,1,33,3.89,312,52.52449774038489,13.43168386515829,1,t
10000024,Charming Private room in Steglitz,20000264,Host_264,f,Steglitz,Private room,42,1,140,4.72,57,52.442194429275624,13.351605221336591,1,t
10000025,Charming Private room in Lichtenberg,20000326,Host_326,f,Lichtenberg,Private room,35,2,3,3.86,349,52.53294280019095,13.490333828331062,1,f
10000026,Charming Private room in Prenzlauer Berg,20000308,Host_308,t,Prenzlauer Berg,Private room,65,2,2,4.61,116,52.520448574133425,13.424496814721541,1,t
10000027,Charming Entire home/apt in Wedding,20000396,Host_396,f,Wedding,Entire home/apt,58,1,95,4.5,188,52.54894526590076,13.372475628654637,1,f
10000028,Charming Private room in Kreuzberg,20000278,Host_278,f,Kreuzberg,Private room,44,1,1,3.84,237,52.491292585967706,13.372601204001054,10,t
10000029,Charming Entire home/apt in Charlottenburg,20000400,Host_400,t,Charlottenburg,Entire home/apt,150,2,35,4.62,222,52.5028505752552,13.292023222428803,1,f
10000030,Charming Private room in Charlottenburg,20000096,Host_96,f,Charlottenburg,Private room,95,5,35,4.68,177,52.52552632866899,13.316767122580616,1,t
10000031,Charming Private room in Charlottenburg,20000445,Host_445,f,Charlottenburg,Private room,59,1,8,4.21,252,52.52717017418633,13.30030335217161,1,f
10000032,Charming Entire home/apt in Wedding,20000337,Host_337,f,Wedding,Entire home/apt,80,2,14,4.83,216,52.53885048262167,13.379228805704713,2,t
10000033,Charming Private room in Pankow,20000394,Host_394,f,Pankow,Private room,49,7,68,4.27,12,52.55102328388068,13.383891448435772,1,t
10000034,Charming Private room in Friedrichshain,20000286,Host_286,f,Friedrichshain,Private room,57,1,82,3.9,283,52.50976811906413,13.468237144816715,4,f
10000035,Charming Entire home/apt in Charlottenburg,20000339,Host_339,f,Charlottenburg,Entire home/apt,118,7,53,3.92,180,52.51781907441803,13.281528949723867,1,t
10000036,Charming Entire home/apt in Kreuzberg,20000223,Host_223,t,Kreuzberg,Entire home/apt,110,3,33,4.64,6,52.495509074908036,13.403857195770644,1,t
10000037,Charming Entire home/apt in Wedding,20000393,Host_393,f,Wedding,Entire home/apt,85,5,74,4.06,326,52.55054350557499,13.342358087830164,10,f
10000038,Charming Entire home/apt in Kreuzberg,20000070,Host_70,f,Kreuzberg,Entire home/apt,168,1,23,3.81,219,52.50170907565598,13.413930343254243,1,f
10000039,Charming Entire home/apt in Tempelhof,20000456,Host_456,t,Tempelhof,Entire home/apt,105,2,3,4.81,116,52.47220171159278,13.402900130376036,4,t
10000040,Charming Private room in Charlottenburg,20000160,Host_160,f,Charlottenburg,Private room,52,1,8,4.12,0,52.51411929210794,13.297877629869744,1,f
10000041,Charming Private room in Lichtenberg,20000144,Host_144,f,Lichtenberg,Private room,37,1,21,4.19,177,52.531190680643704,13.521144636897217,1,t
10000042,Charming Entire home/apt in Neukölln,20000228,Host_228,f,Neukölln,Entire home/apt,72,1,98,4.26,196,52.498277476274346,13.412610979533765,1,t
10000043,Charming Shared room in Lichtenberg,20000312,Host_312,f,Lichtenberg,Shared room,19,2,16,4.87,282,52.54409440120721,13.499462365218431,1,t
10000044,Charming Private room in Mitte,20000105,Host_105,f,Mitte,Private room,103,2,45,4.63,82,52.52342456918008,13.43367294409764,1,f
10000045,Charming Private room in Friedrichshain,20000366,Host_366,f,Friedrichshain,Private room,56,1,38,4.37,117,52.52211614878089,13.437130368622432,2,t
10000046,Charming Entire home/apt in Charlottenburg,20000449,Host_449,f,Charlottenburg,Entire home/apt,174,2,57,4.79,191,52.5101674138854,13.331688866868163,1,t
10000047,Charming Entire home/apt in Lichtenberg,20000098,Host_98,f,Lichtenberg,Entire home/apt,85,5,12,4.38,80,52.5348119497222,13.499693050025419,4,t
10000048,Charming Shared room in Mitte,20000184,Host_184,f,Mitte,Shared room,45,1,35,4.06,110,52.51718614893449,13.380029602057075,1,t
10000049,Charming Entire home/apt in Pankow,20000095,Host_95,f,Pankow,Entire home/apt,137,2,126,4.46,50,52.57450225710971,13.388518076150858,1,t
10000050,Charming Entire home/apt in Neukölln,20000092,Host_92,f,Neukölln,Entire home/apt,95,2,1,4.68,120,52.46665911130768,13.4321270076413,1,f
10000051,Charming Private room in Mitte,20000107,Host_107,f,Mitte,Private room,63,1,16,4.33,27,52.52851354264601,13.395694544161966,1,f
10000052,Charming Private room in Lichtenberg,20000365,Host_365,t,Lichtenberg,Private room,48,2,3,4.78,226,52.54081402092379,13.491680962313053,1,t
10000053,Charming Entire home/apt in Wedding,20000119,Host_119,f,Wedding,Entire home/apt,82,1,14,4.32,66,52.56199599781285,13.363350042380445,1,f
10000054,Charming Entire home/apt in Prenzlauer Berg,20000228,Host_228,f,Prenzlauer Berg,Entire home/apt,128,1,80,4.47,314,52.56154477230542,13.44256355244278,10,f
10000055,Charming Entire home/apt in Charlottenburg,20000289,Host_289,t,Charlottenburg,Entire home/apt,127,1,6,4.96,246,52.511218900971684,13.284210106046183,1,t
10000056,Charming Private room in Neukölln,20000229,Host_229,f,Neukölln,Private room,57,1,6,4.54,193,52.48490253268983,13.433726367512563,1,f
10000057,Charming Entire home/apt in Charlottenburg,20000435,Host_435,f,Charlottenburg,Entire home/apt,147,1,4,4.47,319,52.5101544299673,13.278569299145568,1,f
10000058,Charming Entire home/apt in Kreuzberg,20000356,Host_356,f,Kreuzberg,Entire home/apt,93,30,13,4.69,320,52.497114485949936,13.385688097935471,1,t
10000059,Charming Entire home/apt in Pankow,20000265,Host_265,f,Pankow,Entire home/apt,136,3,18,4.83,136,52.581784063401784,13.409167749078643,1,t
10000060,Charming Private room in Neukölln,20000001,Host_1,f,Neukölln,Private room,58,1,9,4.5,61,52.48631916892219,13.445445266899787,1,f
10000061,Charming Entire home/apt in Pankow,20000089,Host_89,f,Pankow,Entire home/apt,95,3,24,4.06,224,52.54851875464822,13.38707870533624,1,f
10000062,Charming Entire home/apt in Kreuzberg,20000309,Host_309,f,Kreuzberg,Entire home/apt,152,2,6,4.77,288,52.475709387430676,13.413287228761787,1,f
10000063,Charming Private room in Tempelhof,20000420,Host_420,f,Tempelhof,Private room,35,2,50,4.76,352,52.452886095627065,13.373644978411086,1,f
10000064,Charming Entire home/apt in Pankow,20000303,Host_303,f,Pankow,Entire home/apt,109,2,51,3.81,114,52.569451558764186,13.43978533814463,1,f
10000065,Charming Entire home/apt in Friedrichshain,20000299,Host_299,f,Friedrichshain,Entire home/apt,162,1,30,4.36,110,52.497212797510954,13.476440664672339,1,f
10000066,Charming Entire home/apt in Friedrichshain,20000492,Host_492,f,Friedrichshain,Entire home/apt,89,1,3,4.72,266,52.52704970647301,13.464086375283427,1,t
10000067,Charming Entire home/apt in Friedrichshain,20000405,Host_405,t,Friedrichshain,Entire home/apt,128,1,14,4.92,116,52.515557249122885,13.470412872777064,1,t
10000068,Charming Entire home/apt in Lichtenberg,20000244,Host_244,f,Lichtenberg,Entire home/apt,112,2,1,4.8,181,52.53164522646242,13.518611260416243,1,f
10000069,Charming Private room in Mitte,20000198,Host_198,t,Mitte,Private room,60,2,6,4.98,176,52.530804598690054,13.377326421395558,1,f
10000070,Charming Entire home/apt in Mitte,20000063,Host_63,f,Mitte,Entire home/apt,153,3,15,4.32,304,52.509397417260544,13.388230822654496,1,f
10000071,Charming Entire home/apt in Mitte,20000424,Host_424,f,Mitte,Entire home/apt,155,2,28,3.97,263,52.5174502278258,13.42755989482874,2,f
10000072,Charming Entire home/apt in Kreuzberg,20000288,Host_288,f,Kreuzberg,Entire home/apt,101,3,37,3.83,246,52.48749424154534,13.418084056651354,1,t
10000073,Charming Private room in Neukölln,20000255,Host_255,t,Neukölln,Private room,54,3,57,5.0,287,52.48912560596363,13.406789623460883,2,f
10000074,Charming Private room in Neukölln,20000452,Host_452,f,Neukölln,Private room,32,1,8,3.83,35,52.474427666818826,13.420939664766651,1,f
10000075,Charming Entire home/apt in Friedrichshain,20000385,Host_385,f,Friedrichshain,Entire home/apt,86,3,14,4.65,225,52.525051021623,13.446388440711381,2,t
10000076,Charming Private room in Mitte,20000342,Host_342,f,Mitte,Private room,97,2,0,,13,52.51962365297575,13.421549528230248,1,f
10000077,Charming Entire home/apt in Neukölln,20000281,Host_281,f,Neukölln,Entire home/apt,121,2,40,4.7,127,52.47099282842057,13.46280948065968,1,f
10000078,Charming Entire home/apt in Charlottenburg,20000422,Host_422,t,Charlottenburg,Entire home/apt,108,1,80,4.95,167,52.52609155637325,13.300688962236196,1,f
10000079,Charming Entire home/apt in Mitte,20000309,Host_309,t,Mitte,Entire home/apt,124,1,46,4.63,291,52.501591257686684,13.385806345498963,2,t
10000080,Charming Entire home/apt in Friedrichshain,20000267,Host_267,f,Friedrichshain,Entire home/apt,122,2,96,4.61,288,52.505241267470225,13.469804626949118,1,f
10000081,Charming Entire home/apt in Lichtenberg,20000467,Host_467,f,Lichtenberg,Entire home/apt,79,1,18,4.58,103,52.53604585109451,13.490767574988777,1,t
10000082,Charming Entire home/apt in Steglitz,20000131,Host_131,t,Steglitz,Entire home/apt,95,1,87,4.65,329,52.446922190647385,13.335542237610172,1,f
10000083,Charming Private room in Pankow,20000012,Host_12,f,Pankow,Private room,63,2,137,4.79,267,52.575816206809506,13.421492226826597,1,f
10000084,Charming Entire home/apt in Wedding,20000365,Host_365,f,Wedding,Entire home/apt,60,3,7,3.93,314,52.53759003669018,13.399089662004393,4,f
10000085,Charming Entire home/apt in Kreuzberg,20000478,Host_478,t,Kreuzberg,Entire home/apt,154,1,4,4.63,292,52.50798283805976,13.38405932907674,1,t
10000086,Charming Entire home/apt in Pankow,20000471,Host_471,t,Pankow,Entire home/apt,131,5,33,4.69,310,52.58336977884354,13.405148321647674,1,f
10000087,Charming Entire home/apt in Prenzlauer Berg,20000251,Host_251,f,Prenzlauer Berg,Entire home/apt,151,5,144,4.65,358,52.535527115499,13.442840211602784,1,f
10000088,Charming Entire home/apt in Pankow,20000177,Host_177,t,Pankow,Entire home/apt,84,1,153,4.77,304,52.55883884106917,13.386436320632578,1,t
10000089,Charming Private room in Charlottenburg,20000187,Host_187,f,Charlottenburg,Private room,95,2,33,3.98,51,52.514142769468535,13.281216227354738,1,t
10000090,Charming Entire home/apt in Charlottenburg,20000349,Host_349,f,Charlottenburg,Entire home/apt,191,3,56,4.49,214,52.51451788473905,13.286082900490822,3,f
10000091,Charming Private room in Lichtenberg,20000378,Host_378,f,Lichtenberg,Private room,33,3,8,4.05,88,52.5465050424799,13.497938805593758,1,f
10000092,Charming Private room in Pankow,20000098,Host_98,f,Pankow,Private room,71,5,58,4.52,260,52.56277211309516,13.39638447660096,1,t
10000093,Charming Entire home/apt in Pankow,20000124,Host_124,f,Pankow,Entire home/apt,144,1,78,4.89,113,52.56654543277795,13.403731933813066,1,f
10000094,Charming Entire home/apt in Kreuzberg,20000349,Host_349,f,Kreuzberg,Entire home/apt,111,5,55,4.52,352,52.511838748037874,13.37482275786801,1,t
10000095,Charming Private room in Tempelhof,20000269,Host_269,f,Tempelhof,Private room,67,2,73,3.81,159,52.45451730548584,13.394815532133848,1,f
10000096,Charming Entire home/apt in Prenzlauer Berg,20000415,Host_415,t,Prenzlauer Berg,Entire home/apt,131,2,139,4.85,222,52.54098744822935,13.44087677793911,1,t
10000097,Charming Entire home/apt in Neukölln,20000365,Host_365,f,Neukölln,Entire home/apt,75,3,54,3.99,241,52.49286387412216,13.431454707491135,4,t
10000098,Charming Entire home/apt in Wedding,20000012,Host_12,t,Wedding,Entire home/apt,109,30,39,4.78,250,52.5431457837011,13.359376448536862,1,f
10000099,Charming Private room in Mitte,20000007,Host_7,t,Mitte,Private room,99,2,11,5.0,98,52.518689615930015,13.374471396390616,1,t
10000100,Charming Entire home/apt in Lichtenberg,20000375,Host_375,f,Lichtenberg,Entire home/apt,114,1,19,4.84,356,52.543518531894264,13.526158157370384,1,t
10000101,Charming Entire home/apt in Lichtenberg,20000441,Host_441,f,Lichtenberg,Entire home/apt,71,1,36,4.21,270,52.541278885387605,13.50340149247353,1,f
10000102,Charming Entire home/apt in Mitte,20000060,Host_60,f,Mitte,Entire home/apt,193,1,84,4.86,45,52.536265194717,13.367780575201522,1,t
10000103,Charming Entire home/apt in Steglitz,20000455,Host_455,t,Steglitz,Entire home/apt,81,2,13,4.84,71,52.46145506734827,13.297904153939323,1,f
10000104,Charming Entire home/apt in Prenzlauer Berg,20000072,Host_72,f,Prenzlauer Berg,Entire home/apt,157,5,52,3.84,213,52.56542279462273,13.41426200732989,1,t
10000105,Charming Entire home/apt in Neukölln,20000076,Host_76,f,Neukölln,Entire home/apt,64,1,25,3.9,76,52.496033983017675,13.448160434358636,1,t
10000106,Charming Entire home/apt in Wedding,20000194,Host_194,f,Wedding,Entire home/apt,62,1,35,4.58,8,52.55998882737309,13.369349647099819,4,t
10000107,Charming Private room in Steglitz,20000416,Host_416,f,Steglitz,Private room,42,3,2,4.78,313,52.46173263151383,13.33182167620536,2,f
10000108,Charming Entire home/apt in Wedding,20000127,Host_127,f,Wedding,Entire home/apt,88,2,33,4.16,237,52.566956483014195,13.35309556833709,1,t
10000109,Charming Entire home/apt in Kreuzberg,20000119,Host_119,f,Kreuzberg,Entire home/apt,131,1,18,4.04,206,52.48548778989825,13.409776674292475,1,f
10000110,Charming Entire home/apt in Wedding,20000350,Host_350,f,Wedding,Entire home/apt,73,30,1,4.75,95,52.54526813537701,13.38360980144935,1,t
10000111,Charming Private room in Prenzlauer Berg,20000354,Host_354,f,Prenzlauer Berg,Private room,92,1,15,4.22,17,52.55386943563233,13.428289541365222,1,f
10000112,Charming Entire home/apt in Friedrichshain,20000355,Host_355,f,Friedrichshain,Entire home/apt,103,5,20,4.37,83,52.51823800127606,13.449627650315099,1,t
10000113,Charming Entire home/apt in Steglitz,20000379,Host_379,f,Steglitz,Entire home/apt,112,1,122,4.3,9,52.46587293124811,13.302913509113505,1,t
10000114,Charming Entire home/apt in Steglitz,20000458,Host_458,f,Steglitz,Entire home/apt,103,3,6,3.98,120,52.4552074955742,13.340105303820641,1,t
10000115,Charming Private room in Mitte,20000204,Host_204,f,Mitte,Private room,83,2,1,4.89,292,52.515322872278595,13.431867156802939,4,t
10000116,Charming Entire home/apt in Charlottenburg,20000119,Host_119,f,Charlottenburg,Entire home/apt,102,1,151,4.86,298,52.51390005612817,13.300325854404237,1,t
10000117,Charming Private room in Pankow,20000285,Host_285,f,Pankow,Private room,41,1,12,4.58,233,52.54789081138548,13.446266292707516,1,t
10000118,Charming Shared room in Pankow,20000341,Host_341,t,Pankow,Shared room,28,2,134,4.75,113,52.56431563059813,13.393292452365024,1,f
10000119,Charming Private room in Steglitz,20000303,Host_303,f,Steglitz,Private room,50,7,61,4.53,360,52.45978289377372,13.317705912663259,1,f
10000120,Charming Entire home/apt in Tempelhof,20000498,Host_498,f,Tempelhof,Entire home/apt,76,2,50,4.82,18,52.46045492493643,13.38899286473044,2,f
10000121,Charming Private room in Lichtenberg,20000489,Host_489,f,Lichtenberg,Private room,39,2,32,4.42,315,52.517609204393636,13.493012575594971,1,f
10000122,Charming Entire home/apt in Steglitz,20000224,Host_224,f,Steglitz,Entire home/apt,104,3,24,4.4,327,52.45821689037132,13.318114013402493,1,f
10000123,Charming Entire home/apt in Tempelhof,20000117,Host_117,f,Tempelhof,Entire home/apt,105,2,50,4.69,363,52.449904275332365,13.361219018795646,4,t
10000124,Charming Private room in Charlottenburg,20000407,Host_407,f,Charlottenburg,Private room,51,7,15,3.91,51,52.51327314311999,13.299481267945513,1,f
10000125,Charming Entire home/apt in Wedding,20000156,Host_156,f,Wedding,Entire home/apt,76,1,6,4.55,73,52.5652451756259,13.371596247837662,2,t
10000126,Charming Private room in Wedding,20000447,Host_447,t,Wedding,Private room,40,2,4,4.6,117,52.54187378584511,13.357744871161286,1,f
10000127,Charming Private room in Wedding,20000026,Host_26,f,Wedding,Private room,47,2,10,4.13,151,52.54547050934575,13.343778705568818,2,t
10000128,Charming Entire home/apt in Kreuzberg,20000202,Host_202,f,Kreuzberg,Entire home/apt,103,3,69,4.04,149,52.490246529467406,13.4239772369166,1,f
10000129,Charming Entire home/apt in Lichtenberg,20000476,Host_476,f,Lichtenberg,Entire home/apt,88,30,5,4.56,322,52.52672508214992,13.485952955306315,1,t
10000130,Charming Private room in Schöneberg,20000425,Host_425,f,Schöneberg,Private room,52,5,51,4.09,228,52.49252608835637,13.34250219912677,3,t
10000131,Charming Entire home/apt in Neukölln,20000136,Host_136,f,Neukölln,Entire home/apt,68,3,9,4.39,229,52.475134359204375,13.432036971614545,1,f
10000132,Charming Hotel room in Kreuzberg,20000300,Host_300,f,Kreuzberg,Hotel room,164,1,30,3.9,332,52.48360412543797,13.37185535046641,1,f
10000133,Charming Entire home/apt in Tempelhof,20000311,Host_311,f,Tempelhof,Entire home/apt,135,1,46,4.65,320,52.440444272758334,13.378410541406419,2,f
10000134,Charming Private room in Pankow,20000454,Host_454,f,Pankow,Private room,65,3,1,4.13,113,52.56362530676386,13.407625148781355,1,t
10000135,Charming Entire home/apt in Tempelhof,20000258,Host_258,f,Tempelhof,Entire home/apt,133,5,6,4.66,142,52.47690073094438,13.386487458565428,10,f
10000136,Charming Entire home/apt in Mitte,20000490,Host_490,f,Mitte,Entire home/apt,202,5,57,4.67,13,52.52081829358548,13.403516655202132,1,t
10000137,Charming Private room in Kreuzberg,20000066,Host_66,t,Kreuzberg,Private room,88,1,69,4.97,269,52.498881811573696,13.391663215050336,1,f
10000138,Charming Entire home/apt in Kreuzberg,20000238,Host_238,t,Kreuzberg,Entire home/apt,146,1,2,4.91,127,52.49060461078768,13.397073219382388,1,t
10000139,Charming Entire home/apt in Steglitz,20000334,Host_334,f,Steglitz,Entire home/apt,88,2,7,4.03,266,52.45829053409274,13.318139493802068,2,f
10000140,Charming Entire home/apt in Kreuzberg,20000463,Host_463,f,Kreuzberg,Entire home/apt,149,2,35,4.05,100,52.49150873615098,13.40461690940192,1,t
10000141,Charming Private room in Neukölln,20000308,Host_308,f,Neukölln,Private room,46,1,16,4.26,13,52.47056027160002,13.43186559269002,1,t
10000142,Charming Private room in Prenzlauer Berg,20000133,Host_133,t,Prenzlauer Berg,Private room,81,2,7,4.85,12,52.538373280914804,13.406002830860633,1,t
10000143,Charming Entire home/apt in Charlottenburg,20000213,Host_213,f,Charlottenburg,Entire home/apt,151,2,65,3.91,281,52.51564690150827,13.302289372494016,1,f
10000144,Charming Private room in Pankow,20000112,Host_112,f,Pankow,Private room,51,7,5,3.91,119,52.57332806381021,13.42028890211425,1,f
10000145,Charming Private room in Mitte,20000060,Host_60,t,Mitte,Private room,98,5,35,4.85,342,52.51911657340991,13.418820244044797,1,t
10000146,Charming Entire home/apt in Schöneberg,20000416,Host_416,f,Schöneberg,Entire home/apt,134,1,2,3.81,132,52.4798101713851,13.3516506425648,1,t
10000147,Charming Entire home/apt in Lichtenberg,20000415,Host_415,f,Lichtenberg,Entire home/apt,91,3,2,4.27,110,52.526191101084315,13.524417978117597,1,f
10000148,Charming Entire home/apt in Pankow,20000223,Host_223,f,Pankow,Entire home/apt,82,2,52,4.51,118,52.55468189333258,13.424720004779333,1,f
10000149,Charming Entire home/apt in Lichtenberg,20000149,Host_149,t,Lichtenberg,Entire home/apt,113,3,37,4.65,270,52.53287013124897,13.51052888418295,1,f
10000150,Charming Entire home/apt in Lichtenberg,20000457,Host_457,f,Lichtenberg,Entire home/apt,74,5,39,4.35,112,52.51064354771596,13.521113933331932,1,t
10000151,Charming Entire home/apt in Schöneberg,20000032,Host_32,f,Schöneberg,Entire home/apt,144,3,52,4.52,202,52.49047562703359,13.338095319659105,1,f
10000152,Charming Entire home/apt in Prenzlauer Berg,20000345,Host_345,f,Prenzlauer Berg,Entire home/apt,182,2,5,4.18,277,52.54392490715673,13.411465040552137,1,f
10000153,Charming Private room in Neukölln,20000184,Host_184,f,Neukölln,Private room,52,3,6,4.31,143,52.499113750286654,13.444353232853524,2,f
10000154,Charming Private room in Pankow,20000003,Host_3,f,Pankow,Private room,48,3,59,4.48,65,52.57135018595461,13.39923855692037,1,f
10000155,Charming Entire home/apt in Wedding,20000420,Host_420,t,Wedding,Entire home/apt,103,3,39,4.9,222,52.55322491680257,13.364789997845401,1,f
10000156,Charming Entire home/apt in Friedrichshain,20000101,Host_101,t,Friedrichshain,Entire home/apt,127,2,41,4.6,37,52.52089056947406,13.459080807543046,1,t
10000157,Charming Private room in Schöneberg,20000429,Host_429,t,Schöneberg,Private room,47,1,42,4.62,23,52.48239046772382,13.36642971209039,1,f
10000158,Charming Entire home/apt in Kreuzberg,20000159,Host_159,t,Kreuzberg,Entire home/apt,129,3,43,4.92,191,52.49041801116578,13.391749383138835,1,t
10000159,Charming Entire home/apt in Schöneberg,20000350,Host_350,f,Schöneberg,Entire home/apt,141,3,46,4.13,160,52.47571656139857,13.330629409123686,1,f
10000160,Charming Shared room in Neukölln,20000240,Host_240,t,Neukölln,Shared room,23,3,30,4.83,197,52.48403780309491,13.414349626890429,1,t
10000161,Charming Private room in Kreuzberg,20000245,Host_245,t,Kreuzberg,Private room,57,3,21,4.79,69,52.50892963947153,13.388875821873565,1,t
10000162,Charming Private room in Mitte,20000295,Host_295,f,Mitte,Private room,79,1,11,3.85,341,52.517257716429455,13.390010308635247,1,t
10000163,Charming Entire home/apt in Wedding,20000220,Host_220,f,Wedding,Entire home/apt,95,1,23,3.84,83,52.55923584626233,13.347952315739795,1,f
10000164,Charming Entire home/apt in Mitte,20000021,Host_21,f,Mitte,Entire home/apt,186,2,4,4.77,153,52.51831203213298,13.40666434144102,1,t
10000165,Charming Entire home/apt in Charlottenburg,20000313,Host_313,f,Charlottenburg,Entire home/apt,153,2,125,4.47,160,52.523742646796215,13.27478565865246,1,t
10000166,Charming Entire home/apt in Neukölln,20000490,Host_490,t,Neukölln,Entire home/apt,130,3,2,4.88,16,52.491175012290846,13.474947735251797,1,t
10000167,Charming Entire home/apt in Charlottenburg,20000098,Host_98,f,Charlottenburg,Entire home/apt,107,5,21,4.62,75,52.519842571950136,13.280339768181612,1,f
10000168,Charming Entire home/apt in Kreuzberg,20000444,Host_444,f,Kreuzberg,Entire home/apt,117,3,25,4.03,212,52.49214035820876,13.379812119900246,1,t
10000169,Charming Entire home/apt in Tempelhof,20000270,Host_270,f,Tempelhof,Entire home/apt,106,1,14,4.11,41,52.47962593965482,13.391598017760636,1,t
10000170,Charming Shared room in Lichtenberg,20000436,Host_436,f,Lichtenberg,Shared room,20,2,11,4.67,163,52.54539472896351,13.497977865052485,1,t
10000171,Charming Entire home/apt in Pankow,20000393,Host_393,f,Pankow,Entire home/apt,85,2,15,4.79,362,52.54130402600727,13.418150622743564,10,t
10000172,Charming Entire home/apt in Pankow,20000129,Host_129,t,Pankow,Entire home/apt,116,2,3,4.95,11,52.571879822363776,13.413613571147355,1,t
10000173,Charming Entire home/apt in Schöneberg,20000129,Host_129,f,Schöneberg,Entire home/apt,156,7,37,3.94,324,52.485775223025094,13.3410566916989,1,f
10000174,Charming Entire home/apt in Wedding,20000281,Host_281,f,Wedding,Entire home/apt,100,3,27,4.58,363,52.552043843015774,13.35470250560784,1,t
10000175,Charming Private room in Steglitz,20000226,Host_226,f,Steglitz,Private room,58,1,9,3.96,40,52.44780697767705,13.314028376181577,1,t
10000176,Charming Private room in Neukölln,20000075,Host_75,f,Neukölln,Private room,39,1,47,3.92,247,52.488957031417,13.44427995906221,1,t
10000177,Charming Private room in Mitte,20000201,Host_201,f,Mitte,Private room,91,2,12,4.03,226,52.51490804759515,13.416662968612224,2,t
10000178,Charming Private room in Mitte,20000142,Host_142,f,Mitte,Private room,67,5,38,4.42,90,52.52723610587229,13.415011911724589,1,t
10000179,Charming Private room in Pankow,20000142,Host_142,f,Pankow,Private room,54,1,19,3.83,101,52.566517215393006,13.386993930128762,1,f
10000180,Charming Entire home/apt in Kreuzberg,20000083,Host_83,f,Kreuzberg,Entire home/apt,173,3,12,4.71,274,52.50598810480888,13.401030512260196,3,t
